,Unnamed: 0,source_rd,dest_rd,source_postal,dest_postal,total_time,total_distance
0,0,PUNGGOL_FIELD_WALK,HOUGANG_AVENUE_6,828739,538808,2901,4031
1,1,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,828815,321,446
2,2,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828739,828761,1902,2638
3,3,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,820101,919,1276
4,4,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD_WALK,828739,820128,176,244
5,5,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828739,820162,521,724
6,6,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828739,820166,471,654
7,7,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,820168,285,396
8,8,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,820174,575,799
9,9,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,820175,733,1018
10,10,PUNGGOL_FIELD_WALK,PUNGGOL_ROAD,828739,820194,1185,1645
11,11,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,820196,902,1252
12,12,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,820199,1016,1411
13,13,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,820201,1134,1574
14,14,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,820204,1213,1685
15,15,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828739,820292,1269,1762
16,16,PUNGGOL_FIELD_WALK,HOUGANG_AVENUE_10,828739,530458,2213,3075
17,17,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828739,820602,1338,1858
18,18,PUNGGOL_FIELD_WALK,PUNGGOL_DRIVE,828739,820638,875,1215
19,19,PUNGGOL_FIELD_WALK,PUNGGOL_DRIVE,828739,820642,899,1248
20,20,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828739,820644,807,1121
21,21,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828739,820650,678,941
22,22,PUNGGOL_FIELD_WALK,PUNGGOL_DRIVE,828739,820681,1213,1684
23,23,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,823259,1963,2726
24,24,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,820107,709,985
25,25,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,820109,515,716
26,26,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828739,820121,584,811
27,27,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,820169,360,500
28,28,PUNGGOL_FIELD_WALK,PUNGGOL_WALK,828739,820211,1563,2170
29,29,PUNGGOL_FIELD_WALK,PUNGGOL_WALK,828739,820213,1690,2346
30,30,PUNGGOL_FIELD_WALK,SUMANG_WALK,828739,820256,2028,2816
31,31,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,820259,1957,2718
32,32,PUNGGOL_FIELD_WALK,PUNGGOL_WAY,828739,820261,1959,2720
33,33,PUNGGOL_FIELD_WALK,PUNGGOL_WAY,828739,820261,1959,2720
34,34,PUNGGOL_FIELD_WALK,PUNGGOL_WAY,828739,820266,1840,2555
35,35,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,820267,1767,2453
36,36,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828739,820270,1636,2272
37,37,PUNGGOL_FIELD_WALK,SUMANG_LINK,828739,820312,2151,2983
38,38,PUNGGOL_FIELD_WALK,PUNGGOL_WAY,828739,820314,2402,3333
39,39,PUNGGOL_FIELD_WALK,SUMANG_WALK,828739,820322,2515,3490
40,40,PUNGGOL_FIELD_WALK,SUMANG_WALK,828739,820325,2842,3944
41,41,PUNGGOL_FIELD_WALK,SUMANG_WALK,828739,820326,2898,4021
42,42,PUNGGOL_FIELD_WALK,EDGEFIELD_PLAINS,828739,820614,1281,1778
43,43,PUNGGOL_FIELD_WALK,PUNGGOL_EAST,828739,820659,1320,1834
44,44,PUNGGOL_FIELD_WALK,EDGEFIELD_PLAINS,828739,820105,962,1336
45,45,PUNGGOL_FIELD_WALK,EDGEFIELD_PLAINS,828739,820119,873,1213
46,46,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828739,820126,410,570
47,47,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828739,820131,344,478
48,48,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828739,820137,1130,1569
49,49,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828739,820171,395,549
50,50,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828739,820172,444,617
51,51,PUNGGOL_FIELD_WALK,EDGEFIELD_PLAINS,828739,820180,504,700
52,52,PUNGGOL_FIELD_WALK,PUNGGOL_PL,828739,820207,1305,1812
53,53,PUNGGOL_FIELD_WALK,PUNGGOL_PL,828739,820210,1359,1886
54,54,PUNGGOL_FIELD_WALK,SUMANG_WALK,828739,820217,2043,2837
55,55,PUNGGOL_FIELD_WALK,SUMANG_LANE,828739,820222,2023,2808
56,56,PUNGGOL_FIELD_WALK,SUMANG_LANE,828739,820226,2111,2930
57,57,PUNGGOL_FIELD_WALK,SUMANG_LANE,828739,820233,2271,3153
58,58,PUNGGOL_FIELD_WALK,PUNGGOL_PL,828739,820273,1436,1993
59,59,PUNGGOL_FIELD_WALK,PUNGGOL_CTRL,828739,820301,1356,1883
60,60,PUNGGOL_FIELD_WALK,PUNGGOL_PL,828739,820302,1523,2114
61,61,PUNGGOL_FIELD_WALK,PUNGGOL_RD,828739,820305,1542,2140
62,62,PUNGGOL_FIELD_WALK,PUNGGOL_CTRL,828739,820602,1389,1928
63,63,PUNGGOL_FIELD_WALK,PUNGGOL_RD,828739,820603,1372,1906
64,64,PUNGGOL_FIELD_WALK,PUNGGOL_DR,828739,820612,1472,2043
65,65,PUNGGOL_FIELD_WALK,PUNGGOL_DR,828739,820616,1186,1646
66,66,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828739,820661,1239,1713
67,67,PUNGGOL_FIELD_WALK,PUNGGOL_DR,828739,820663,1038,1441
68,68,PUNGGOL_FIELD_WALK,PUNGGOL_DR,828739,820665,1138,1579
69,69,PUNGGOL_FIELD_WALK,EDGEFIELD_PLAINS,828739,820670,1613,2239
70,70,PUNGGOL_FIELD_WALK,EDGEFIELD_PLAINS,828739,820672,1760,2443
71,71,PUNGGOL_FIELD_WALK,PUNGGOL_DR,828739,820676,1393,1934
72,72,PUNGGOL_FIELD_WALK,PUNGGOL_DR,828739,820677,1558,2164
73,73,PUNGGOL_FIELD_WALK,PUNGGOL_DR,828739,820678,1593,2212
74,74,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828739,820682,1200,1666
75,75,PUNGGOL_FIELD_WALK,NORTHSHORE_WALK,828739,821407,2761,3831
76,76,PUNGGOL_FIELD_WALK,NORTHSHORE_LINK,828739,822407,2745,3810
77,77,PUNGGOL_DRIVE,HOUGANG_AVENUE_6,828629,538808,3747,5205
78,78,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,828815,1779,2470
79,79,PUNGGOL_DRIVE,PUNGGOL_CENTRAL,828629,828761,800,1111
80,80,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,820101,1138,1581
81,81,PUNGGOL_DRIVE,PUNGGOL_FIELD_WALK,828629,820128,1817,2522
82,82,PUNGGOL_DRIVE,PUNGGOL_CENTRAL,828629,820162,1558,2163
83,83,PUNGGOL_DRIVE,PUNGGOL_CENTRAL,828629,820166,1726,2396
84,84,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,820168,1730,2401
85,85,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,820174,1379,1915
86,86,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,820175,1235,1714
87,87,PUNGGOL_DRIVE,PUNGGOL_ROAD,828629,820194,854,1186
88,88,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,820196,1040,1444
89,89,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,820199,910,1263
90,90,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,820201,982,1364
91,91,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,820204,1104,1532
92,92,PUNGGOL_DRIVE,PUNGGOL_CENTRAL,828629,820292,728,1011
93,93,PUNGGOL_DRIVE,HOUGANG_AVENUE_10,828629,530458,3053,4241
94,94,PUNGGOL_DRIVE,PUNGGOL_CENTRAL,828629,820602,667,927
95,95,PUNGGOL_DRIVE,PUNGGOL_DRIVE,828629,820638,1292,1794
96,96,PUNGGOL_DRIVE,PUNGGOL_DRIVE,828629,820642,1383,1921
97,97,PUNGGOL_DRIVE,PUNGGOL_CENTRAL,828629,820644,1472,2044
98,98,PUNGGOL_DRIVE,PUNGGOL_CENTRAL,828629,820650,1517,2106
99,99,PUNGGOL_DRIVE,PUNGGOL_DRIVE,828629,820681,945,1312
100,100,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,823259,1254,1741
101,101,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,820107,1286,1784
102,102,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,820109,1486,2062
103,103,PUNGGOL_DRIVE,EDGEDALE_PLAINS,828629,820121,1631,2264
104,104,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,820169,1873,2600
105,105,PUNGGOL_DRIVE,PUNGGOL_WALK,828629,820211,995,1382
106,106,PUNGGOL_DRIVE,PUNGGOL_WALK,828629,820213,1123,1559
107,107,PUNGGOL_DRIVE,SUMANG_WALK,828629,820256,1225,1700
108,108,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,820259,1317,1829
109,109,PUNGGOL_DRIVE,PUNGGOL_WAY,828629,820261,1094,1519
110,110,PUNGGOL_DRIVE,PUNGGOL_WAY,828629,820261,1094,1519
111,111,PUNGGOL_DRIVE,PUNGGOL_WAY,828629,820266,1070,1485
112,112,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,820267,1082,1504
113,113,PUNGGOL_DRIVE,PUNGGOL_FIELD,828629,820270,1001,1390
114,114,PUNGGOL_DRIVE,SUMANG_LINK,828629,820312,778,1079
115,115,PUNGGOL_DRIVE,PUNGGOL_WAY,828629,820314,1300,1806
116,116,PUNGGOL_DRIVE,SUMANG_WALK,828629,820322,1201,1667
117,117,PUNGGOL_DRIVE,SUMANG_WALK,828629,820325,1528,2121
118,118,PUNGGOL_DRIVE,SUMANG_WALK,828629,820326,1584,2198
119,119,PUNGGOL_DRIVE,EDGEFIELD_PLAINS,828629,820614,717,995
120,120,PUNGGOL_DRIVE,PUNGGOL_EAST,828629,820659,1559,2165
121,121,PUNGGOL_DRIVE,EDGEFIELD_PLAINS,828629,820105,1241,1724
122,122,PUNGGOL_DRIVE,EDGEFIELD_PLAINS,828629,820119,1321,1835
123,123,PUNGGOL_DRIVE,EDGEDALE_PLAINS,828629,820126,1661,2306
124,124,PUNGGOL_DRIVE,EDGEDALE_PLAINS,828629,820131,1690,2346
125,125,PUNGGOL_DRIVE,EDGEDALE_PLAINS,828629,820137,2064,2868
126,126,PUNGGOL_DRIVE,EDGEDALE_PLAINS,828629,820171,1622,2252
127,127,PUNGGOL_DRIVE,EDGEDALE_PLAINS,828629,820172,1543,2143
128,128,PUNGGOL_DRIVE,EDGEFIELD_PLAINS,828629,820180,1433,1990
129,129,PUNGGOL_DRIVE,PUNGGOL_PL,828629,820207,812,1127
130,130,PUNGGOL_DRIVE,PUNGGOL_PL,828629,820210,880,1223
131,131,PUNGGOL_DRIVE,SUMANG_WALK,828629,820217,1472,2045
132,132,PUNGGOL_DRIVE,SUMANG_LANE,828629,820222,1453,2017
133,133,PUNGGOL_DRIVE,SUMANG_LANE,828629,820226,1535,2133
134,134,PUNGGOL_DRIVE,SUMANG_LANE,828629,820233,1701,2361
135,135,PUNGGOL_DRIVE,PUNGGOL_PL,828629,820273,638,886
136,136,PUNGGOL_DRIVE,PUNGGOL_CTRL,828629,820301,569,790
137,137,PUNGGOL_DRIVE,PUNGGOL_PL,828629,820302,405,563
138,138,PUNGGOL_DRIVE,PUNGGOL_RD,828629,820305,368,510
139,139,PUNGGOL_DRIVE,PUNGGOL_CTRL,828629,820602,617,857
140,140,PUNGGOL_DRIVE,PUNGGOL_RD,828629,820603,595,826
141,141,PUNGGOL_DRIVE,PUNGGOL_DR,828629,820612,538,746
142,142,PUNGGOL_DRIVE,PUNGGOL_DR,828629,820616,877,1218
143,143,PUNGGOL_DRIVE,EDGEDALE_PLAINS,828629,820661,1352,1878
144,144,PUNGGOL_DRIVE,PUNGGOL_DR,828629,820663,1333,1852
145,145,PUNGGOL_DRIVE,PUNGGOL_DR,828629,820665,1093,1518
146,146,PUNGGOL_DRIVE,EDGEFIELD_PLAINS,828629,820670,935,1299
147,147,PUNGGOL_DRIVE,EDGEFIELD_PLAINS,828629,820672,787,1093
148,148,PUNGGOL_DRIVE,PUNGGOL_DR,828629,820676,790,1097
149,149,PUNGGOL_DRIVE,PUNGGOL_DR,828629,820677,505,700
150,150,PUNGGOL_DRIVE,PUNGGOL_DR,828629,820678,469,652
151,151,PUNGGOL_DRIVE,EDGEDALE_PLAINS,828629,820682,1297,1800
152,152,PUNGGOL_DRIVE,NORTHSHORE_WALK,828629,821407,1399,1941
153,153,PUNGGOL_DRIVE,NORTHSHORE_LINK,828629,822407,1543,2142
154,154,PUNGGOL_FIELD_WALK,HOUGANG_AVENUE_6,828740,538808,2889,4015
155,155,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,828815,298,413
156,156,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828740,828761,1879,2606
157,157,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,820101,896,1244
158,158,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD_WALK,828740,820128,153,211
159,159,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828740,820162,497,691
160,160,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828740,820166,448,622
161,161,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,820168,262,364
162,162,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,820174,552,766
163,163,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,820175,710,986
164,164,PUNGGOL_FIELD_WALK,PUNGGOL_ROAD,828740,820194,1162,1613
165,165,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,820196,878,1220
166,166,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,820199,993,1378
167,167,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,820201,1111,1542
168,168,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,820204,1201,1669
169,169,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828740,820292,1246,1729
170,170,PUNGGOL_FIELD_WALK,HOUGANG_AVENUE_10,828740,530458,2201,3059
171,171,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828740,820602,1315,1826
172,172,PUNGGOL_FIELD_WALK,PUNGGOL_DRIVE,828740,820638,852,1183
173,173,PUNGGOL_FIELD_WALK,PUNGGOL_DRIVE,828740,820642,876,1216
174,174,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828740,820644,784,1089
175,175,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828740,820650,654,908
176,176,PUNGGOL_FIELD_WALK,PUNGGOL_DRIVE,828740,820681,1190,1652
177,177,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,823259,1940,2693
178,178,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,820107,686,953
179,179,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,820109,492,684
180,180,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828740,820121,572,794
181,181,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,820169,336,467
182,182,PUNGGOL_FIELD_WALK,PUNGGOL_WALK,828740,820211,1539,2137
183,183,PUNGGOL_FIELD_WALK,PUNGGOL_WALK,828740,820213,1667,2314
184,184,PUNGGOL_FIELD_WALK,SUMANG_WALK,828740,820256,2005,2784
185,185,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,820259,1934,2685
186,186,PUNGGOL_FIELD_WALK,PUNGGOL_WAY,828740,820261,1935,2687
187,187,PUNGGOL_FIELD_WALK,PUNGGOL_WAY,828740,820261,1935,2687
188,188,PUNGGOL_FIELD_WALK,PUNGGOL_WAY,828740,820266,1817,2523
189,189,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,820267,1743,2420
190,190,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828740,820270,1613,2239
191,191,PUNGGOL_FIELD_WALK,SUMANG_LINK,828740,820312,2128,2951
192,192,PUNGGOL_FIELD_WALK,PUNGGOL_WAY,828740,820314,2379,3301
193,193,PUNGGOL_FIELD_WALK,SUMANG_WALK,828740,820322,2492,3457
194,194,PUNGGOL_FIELD_WALK,SUMANG_WALK,828740,820325,2819,3911
195,195,PUNGGOL_FIELD_WALK,SUMANG_WALK,828740,820326,2875,3989
196,196,PUNGGOL_FIELD_WALK,EDGEFIELD_PLAINS,828740,820614,1257,1745
197,197,PUNGGOL_FIELD_WALK,PUNGGOL_EAST,828740,820659,1297,1801
198,198,PUNGGOL_FIELD_WALK,EDGEFIELD_PLAINS,828740,820105,951,1320
199,199,PUNGGOL_FIELD_WALK,EDGEFIELD_PLAINS,828740,820119,862,1197
200,200,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828740,820126,398,554
201,201,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828740,820131,333,462
202,202,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828740,820137,1118,1553
203,203,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828740,820171,372,516
204,204,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828740,820172,421,584
205,205,PUNGGOL_FIELD_WALK,EDGEFIELD_PLAINS,828740,820180,481,668
206,206,PUNGGOL_FIELD_WALK,PUNGGOL_PL,828740,820207,1282,1779
207,207,PUNGGOL_FIELD_WALK,PUNGGOL_PL,828740,820210,1335,1854
208,208,PUNGGOL_FIELD_WALK,SUMANG_WALK,828740,820217,2020,2804
209,209,PUNGGOL_FIELD_WALK,SUMANG_LANE,828740,820222,2000,2776
210,210,PUNGGOL_FIELD_WALK,SUMANG_LANE,828740,820226,2087,2897
211,211,PUNGGOL_FIELD_WALK,SUMANG_LANE,828740,820233,2248,3120
212,212,PUNGGOL_FIELD_WALK,PUNGGOL_PL,828740,820273,1413,1961
213,213,PUNGGOL_FIELD_WALK,PUNGGOL_CTRL,828740,820301,1333,1850
214,214,PUNGGOL_FIELD_WALK,PUNGGOL_PL,828740,820302,1499,2082
215,215,PUNGGOL_FIELD_WALK,PUNGGOL_RD,828740,820305,1519,2108
216,216,PUNGGOL_FIELD_WALK,PUNGGOL_CTRL,828740,820602,1365,1896
217,217,PUNGGOL_FIELD_WALK,PUNGGOL_RD,828740,820603,1349,1874
218,218,PUNGGOL_FIELD_WALK,PUNGGOL_DR,828740,820612,1448,2011
219,219,PUNGGOL_FIELD_WALK,PUNGGOL_DR,828740,820616,1162,1614
220,220,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828740,820661,1215,1681
221,221,PUNGGOL_FIELD_WALK,PUNGGOL_DR,828740,820663,1014,1409
222,222,PUNGGOL_FIELD_WALK,PUNGGOL_DR,828740,820665,1114,1547
223,223,PUNGGOL_FIELD_WALK,EDGEFIELD_PLAINS,828740,820670,1590,2207
224,224,PUNGGOL_FIELD_WALK,EDGEFIELD_PLAINS,828740,820672,1737,2411
225,225,PUNGGOL_FIELD_WALK,PUNGGOL_DR,828740,820676,1369,1901
226,226,PUNGGOL_FIELD_WALK,PUNGGOL_DR,828740,820677,1535,2131
227,227,PUNGGOL_FIELD_WALK,PUNGGOL_DR,828740,820678,1570,2180
228,228,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828740,820682,1177,1633
229,229,PUNGGOL_FIELD_WALK,NORTHSHORE_WALK,828740,821407,2737,3798
230,230,PUNGGOL_FIELD_WALK,NORTHSHORE_LINK,828740,822407,2721,3778
231,231,PUNGGOL_FIELD_WALK,HOUGANG_AVENUE_6,828741,538808,2879,4000
232,232,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,828815,280,389
233,233,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828741,828761,1861,2581
234,234,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,820101,878,1219
235,235,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD_WALK,828741,820128,135,187
236,236,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828741,820162,480,667
237,237,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828741,820166,430,597
238,238,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,820168,244,339
239,239,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,820174,534,742
240,240,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,820175,692,961
241,241,PUNGGOL_FIELD_WALK,PUNGGOL_ROAD,828741,820194,1144,1588
242,242,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,820196,861,1195
243,243,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,820199,975,1354
244,244,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,820201,1093,1517
245,245,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,820204,1191,1655
246,246,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828741,820292,1228,1704
247,247,PUNGGOL_FIELD_WALK,HOUGANG_AVENUE_10,828741,530458,2191,3044
248,248,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828741,820602,1297,1801
249,249,PUNGGOL_FIELD_WALK,PUNGGOL_DRIVE,828741,820638,834,1158
250,250,PUNGGOL_FIELD_WALK,PUNGGOL_DRIVE,828741,820642,858,1191
251,251,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828741,820644,766,1064
252,252,PUNGGOL_FIELD_WALK,PUNGGOL_CENTRAL,828741,820650,637,884
253,253,PUNGGOL_FIELD_WALK,PUNGGOL_DRIVE,828741,820681,1172,1627
254,254,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,823259,1922,2669
255,255,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,820107,668,928
256,256,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,820109,474,659
257,257,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828741,820121,562,780
258,258,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,820169,319,443
259,259,PUNGGOL_FIELD_WALK,PUNGGOL_WALK,828741,820211,1522,2112
260,260,PUNGGOL_FIELD_WALK,PUNGGOL_WALK,828741,820213,1649,2289
261,261,PUNGGOL_FIELD_WALK,SUMANG_WALK,828741,820256,1987,2759
262,262,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,820259,1916,2661
263,263,PUNGGOL_FIELD_WALK,PUNGGOL_WAY,828741,820261,1918,2662
264,264,PUNGGOL_FIELD_WALK,PUNGGOL_WAY,828741,820261,1918,2662
265,265,PUNGGOL_FIELD_WALK,PUNGGOL_WAY,828741,820266,1799,2498
266,266,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,820267,1726,2395
267,267,PUNGGOL_FIELD_WALK,PUNGGOL_FIELD,828741,820270,1595,2215
268,268,PUNGGOL_FIELD_WALK,SUMANG_LINK,828741,820312,2110,2926
269,269,PUNGGOL_FIELD_WALK,PUNGGOL_WAY,828741,820314,2361,3276
270,270,PUNGGOL_FIELD_WALK,SUMANG_WALK,828741,820322,2474,3433
271,271,PUNGGOL_FIELD_WALK,SUMANG_WALK,828741,820325,2801,3887
272,272,PUNGGOL_FIELD_WALK,SUMANG_WALK,828741,820326,2857,3964
273,273,PUNGGOL_FIELD_WALK,EDGEFIELD_PLAINS,828741,820614,1239,1721
274,274,PUNGGOL_FIELD_WALK,PUNGGOL_EAST,828741,820659,1279,1776
275,275,PUNGGOL_FIELD_WALK,EDGEFIELD_PLAINS,828741,820105,933,1295
276,276,PUNGGOL_FIELD_WALK,EDGEFIELD_PLAINS,828741,820119,851,1182
277,277,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828741,820126,388,539
278,278,PUNGGOL_FIELD_WALK,EDGEDALE_PLAINS,828741,820131,322,447
