SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,BLKSTREET
FLO RESIDENCE,1,PUNGGOL_FIELD_WALK,FLO RESIDENCE,1 PUNGGOL FIELD WALK FLO RESIDENCE SINGAPORE 828739,828739,36871.84314,41529.00766,1.391846751,103.913039,1_PUNGGOL_FIELD_WALK
ONE PUNGGOL,1,PUNGGOL_DRIVE,ONE PUNGGOL,1 PUNGGOL DRIVE ONE PUNGGOL SINGAPORE 828629,828629,35986.92226,43383.41633,1.4086176,103.9050878,1_PUNGGOL_DRIVE
FLO RESIDENCE,3,PUNGGOL_FIELD_WALK,FLO RESIDENCE,3 PUNGGOL FIELD WALK FLO RESIDENCE SINGAPORE 828740,828740,36867.78321,41559.00847,1.392118069,103.9130026,3_PUNGGOL_FIELD_WALK
FLO RESIDENCE,5,PUNGGOL_FIELD_WALK,FLO RESIDENCE,5 PUNGGOL FIELD WALK FLO RESIDENCE SINGAPORE 828741,828741,36885.96839,41582.1412,1.392327267,103.913166,5_PUNGGOL_FIELD_WALK
FLO RESIDENCE,7,PUNGGOL_FIELD_WALK,FLO RESIDENCE,7 PUNGGOL FIELD WALK FLO RESIDENCE SINGAPORE 828742,828742,36907.72538,41608.11198,1.39256213,103.9133615,7_PUNGGOL_FIELD_WALK
FLO RESIDENCE,9,PUNGGOL_FIELD_WALK,FLO RESIDENCE,9 PUNGGOL FIELD WALK FLO RESIDENCE SINGAPORE 828743,828743,36963.06936,41595.14647,1.392444858,103.9138588,9_PUNGGOL_FIELD_WALK
FLO RESIDENCE,11,PUNGGOL_FIELD_WALK,FLO RESIDENCE,11 PUNGGOL FIELD WALK FLO RESIDENCE SINGAPORE 828744,828744,36967.14304,41565.09442,1.392173077,103.9138954,11_PUNGGOL_FIELD_WALK
FLO RESIDENCE,13,PUNGGOL_FIELD_WALK,FLO RESIDENCE,13 PUNGGOL FIELD WALK FLO RESIDENCE SINGAPORE 828745,828745,36951.11917,41544.77295,1.391989302,103.9137514,13_PUNGGOL_FIELD_WALK
WATERWOODS,15,PUNGGOL_FIELD_WALK,WATERWOODS,15 PUNGGOL FIELD WALK WATERWOODS SINGAPORE 828746,828746,36774.60573,41427.4761,1.390928566,103.9121653,15_PUNGGOL_FIELD_WALK
WATERWOODS,17,PUNGGOL_FIELD_WALK,WATERWOODS,17 PUNGGOL FIELD WALK WATERWOODS SINGAPORE 828747,828747,36806.42961,41398.095,1.390662845,103.9124512,17_PUNGGOL_FIELD_WALK
WATERWOODS,19,PUNGGOL_FIELD_WALK,WATERWOODS,19 PUNGGOL FIELD WALK WATERWOODS SINGAPORE 828748,828748,36839.96702,41397.18351,1.390654592,103.9127526,19_PUNGGOL_FIELD_WALK
WATERWOODS,21,PUNGGOL_FIELD_WALK,WATERWOODS,21 PUNGGOL FIELD WALK WATERWOODS SINGAPORE 828749,828749,36861.57216,41430.6938,1.39095764,103.9129467,21_PUNGGOL_FIELD_WALK
WATERWOODS,23,PUNGGOL_FIELD_WALK,WATERWOODS,23 PUNGGOL FIELD WALK WATERWOODS SINGAPORE 828750,828750,36801.63483,41461.26474,1.39123413,103.9124081,23_PUNGGOL_FIELD_WALK
WATERWOODS,25,PUNGGOL_FIELD_WALK,WATERWOODS,25 PUNGGOL FIELD WALK WATERWOODS SINGAPORE 828751,828751,36833.49222,41461.54974,1.391236698,103.9126944,25_PUNGGOL_FIELD_WALK
